dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,21,01-21,39,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.913400582948977,0.4599757820782122,0.678225604425958,5.657382772327329e-29,0.819327731092437,0.14287768204889068,0.23549343161387437,0.5686274509803921,0.14285714285714285,0.5686274509803921,29,22,132,22,205,51,False
B2000WCN001002,21,01-21,39,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.10003711840576,0.42534975999396296,0.6559278872929398,1.3510294773031257e-26,0.7883880825057296,0.16641548413526622,0.10954790924566304,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,21,01-21,39,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.861647585858299,0.4693868050810659,0.685413816792853,8.722355651658408e-30,0.8083778966131907,0.14740449378745163,0.21127147295420745,0.5686274509803921,0.14285714285714285,0.5686274509803921,29,22,132,22,205,51,False
B2000WCN001002,21,01-21,39,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.146098950637131,0.4166385410969139,0.6479104295752139,8.656011573105509e-26,0.7769289533995417,0.16761706528431816,0.10311851686103002,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,22,01-22,38,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.275571322021999,0.3918017355863669,0.6261367033435917,1.0246022055564747e-23,0.7687802393684746,0.15695741725107057,0.16015591291364395,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,22,01-22,38,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.488791857678219,0.3497710165572937,0.5923065543929255,8.43055649684141e-21,0.7302011713776418,0.18859749309387866,-0.009143066879329087,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,22,01-22,38,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.853734537177888,0.47081846192322563,0.6861727631009329,7.137292876427075e-30,0.8246753246753246,0.14126127735223404,0.24414245216098351,0.5882352941176471,0.13636363636363635,0.5882352941176471,30,21,133,21,205,51,False
B2000WCN001002,22,01-22,38,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",5.97912024942099,0.4479057643316028,0.6715252222683901,3.0829812057493214e-28,0.7913165266106442,0.16301574446309441,0.12773915698223293,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,22,01-22,38,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.794251444140536,0.48151844324315207,0.6942652519662623,8.09084031656327e-31,0.8105423987776929,0.14647447501716282,0.21624779569693564,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,22,01-22,38,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.020163410934196,0.440300141864713,0.6646066236101995,1.695756845453349e-27,0.785204991087344,0.1654382872722024,0.11477667142675008,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
